127	158	a	a
158	214	r	r
214	283	m	m
283	11	N	&
121	142	e	e
142	191	a	a
191	258	u	u
258	328	t	t
328	390	y	y
390	11	N	&
121	143	l	l
143	192	i	i
192	259	s	s
259	329	s	s
329	11	N	&
121	144	o	o
144	193	u	u
193	260	n	n
260	330	t	t
330	391	y	y
391	11	N	&
122	145	a	a
145	194	r	r
194	261	e	e
261	11	N	&
123	148	e	e
148	202	l	l
202	271	i	i
271	341	g	g
341	402	h	h
402	451	t	t
451	11	N	&
125	154	a	a
154	209	i	i
209	278	t	t
278	348	h	h
348	11	N	&
125	156	e	e
156	212	a	a
212	281	r	r
281	11	N	&
126	157	r	r
157	213	a	a
213	282	c	c
282	351	e	e
351	11	N	&
127	159	u	u
159	215	r	r
215	284	t	t
284	11	N	&
131	170	a	a
170	230	i	i
230	299	n	n
299	11	N	&
132	173	e	e
173	240	m	m
240	310	o	o
310	375	r	r
375	432	s	s
432	476	e	e
476	11	N	&
132	173	e	e
173	237	s	s
237	306	p	p
306	371	e	e
371	428	c	c
428	472	t	t
472	11	N	&
132	173	e	e
173	238	v	v
238	307	e	e
307	372	n	n
372	429	g	g
429	473	e	e
473	11	N	&
133	178	h	h
178	246	a	a
246	316	m	m
316	381	e	e
381	11	N	&
133	175	t	t
175	243	r	r
243	313	e	e
313	378	s	s
378	435	s	s
435	11	N	&
136	183	a	a
183	251	s	s
251	321	t	t
321	385	e	e
385	11	N	&
136	184	i	i
184	252	s	s
252	322	h	h
322	11	N	&
137	186	o	o
186	254	u	u
254	324	t	t
324	387	h	h
387	11	N	&
