1012	1059	a	a
1059	1135	t	t
1135	1223	i	i
1223	1306	o	o
1306	1379	n	n
1379	1438	a	a
1438	1480	l	l
1480	5	M	&
1005	1040	i	i
1040	1106	c	c
1106	1193	t	t
1193	1281	i	i
1281	1358	o	o
1358	1419	n	n
1419	1467	a	a
1467	1499	l	l
1499	5	M	&
1002	1028	o	o
1028	1091	n	n
1091	1178	t	t
1178	1267	e	e
1267	1345	x	x
1345	1409	t	t
1409	1461	u	u
1461	1493	a	a
1493	1517	l	l
1517	5	M	&
1011	1056	r	r
1056	1131	o	o
1131	1218	p	p
1218	1301	o	o
1301	1374	r	r
1374	1433	t	t
1433	1476	i	i
1476	1506	o	o
1506	1523	n	n
1523	1532	a	a
1532	1534	l	l
1534	5	M	&
1000	1020	f	f
1020	1076	f	f
1076	1159	e	e
1159	1248	c	c
1248	1327	t	t
1327	1395	i	i
1395	1450	o	o
1450	1488	n	n
1488	1514	a	a
1514	1529	l	l
1529	5	M	&
1008	1048	m	m
1048	1117	m	m
1117	1204	o	o
1204	1288	r	r
1288	1363	a	a
1363	1424	l	l
1424	5	M	&
1015	1069	i	i
1069	1151	r	r
1151	1240	a	a
1240	1322	l	l
1322	5	M	&
1001	1022	e	e
1022	1079	n	n
1079	1163	e	e
1163	1252	f	f
1252	1331	i	i
1331	1397	c	c
1397	1452	i	i
1452	1489	a	a
1489	1515	l	l
1515	5	M	&
1001	1023	i	i
1023	1081	o	o
1081	1165	l	l
1165	1254	o	o
1254	1333	g	g
1333	1399	i	i
1399	1454	c	c
1454	1490	a	a
1490	1516	l	l
1516	5	M	&
1001	1023	i	i
1023	1080	s	s
1080	1164	e	e
1164	1253	x	x
1253	1332	u	u
1332	1398	a	a
1398	1453	l	l
1453	5	M	&
1002	1027	l	l
1027	1088	i	i
1088	1174	n	n
1174	1262	i	i
1262	1340	c	c
1340	1405	a	a
1405	1458	l	l
1458	5	M	&
1003	1031	i	i
1031	1095	f	f
1095	1182	f	f
1182	1271	e	e
1271	1349	r	r
1349	1413	e	e
1413	1464	n	n
1464	1496	t	t
1496	1520	i	i
1520	1531	a	a
1531	1533	l	l
1533	5	M	&
1005	1040	i	i
1040	1107	n	n
1107	1194	a	a
1194	1282	l	l
1282	5	M	&
1008	1048	m	m
1048	1115	p	p
1115	1202	a	a
1202	1286	r	r
1286	1361	t	t
1361	1422	i	i
1422	1469	a	a
1469	1501	l	l
1501	5	M	&
1011	1057	h	h
1057	1132	y	y
1132	1220	s	s
1220	1303	i	i
1303	1376	c	c
1376	1435	a	a
1435	1478	l	l
1478	5	M	&
